iter	Passed	Remaining
870	12294	1820
871	12308	1806
872	12321	1792
873	12335	1778
874	12349	1764
875	12362	1750
876	12375	1735
877	12388	1721
878	12403	1707
879	12417	1693
880	12431	1679
881	12444	1664
882	12458	1650
883	12471	1636
884	12485	1622
885	12498	1608
886	12512	1594
887	12526	1579
888	12540	1565
889	12554	1551
890	12567	1537
891	12580	1523
892	12594	1509
893	12608	1494
894	12622	1480
895	12635	1466
896	12650	1452
897	12664	1438
898	12677	1424
899	12691	1410
900	12705	1396
901	12719	1381
902	12732	1367
903	12746	1353
904	12759	1339
905	12774	1325
906	12787	1311
907	12801	1297
908	12815	1282
909	12828	1268
910	12841	1254
911	12854	1240
912	12868	1226
913	12881	1212
914	12895	1197
915	12910	1183
916	12923	1169
917	12937	1155
918	12951	1141
919	12965	1127
920	12978	1113
921	12992	1099
922	13007	1085
923	13020	1070
924	13034	1056
925	13047	1042
926	13061	1028
927	13074	1014
928	13089	1000
929	13102	986
930	13116	972
931	13129	957
932	13143	943
933	13156	929
934	13169	915
935	13184	901
936	13198	887
937	13212	873
938	13226	859
939	13239	845
940	13252	830
941	13265	816
942	13279	802
943	13293	788
944	13308	774
945	13325	760
946	13338	746
947	13353	732
948	13366	718
949	13379	704
950	13392	690
951	13406	675
952	13421	661
953	13434	647
954	13448	633
955	13461	619
956	13474	605
957	13488	591
958	13501	577
959	13516	563
960	13529	549
961	13543	534
962	13556	520
963	13568	506
964	13582	492
965	13596	478
966	13610	464
967	13624	450
968	13637	436
969	13651	422
970	13664	408
971	13676	393
972	13690	379
973	13705	365
974	13719	351
975	13733	337
976	13746	323
977	13759	309
978	13772	295
979	13786	281
980	13800	267
981	13814	253
982	13828	239
983	13841	225
984	13855	211
985	13868	196
986	13880	182
987	13894	168
988	13907	154
989	13922	140
990	13935	126
991	13949	112
992	13962	98
993	13975	84
994	13989	70
995	14002	56
996	14016	42
997	14032	28
998	14046	14
999	14059	0
